11438,-3762,-1115,-2409,9914,2497,-1227,2295,5300
21392,-5653,-3353,2406,8010,-415,7166,1427,2078
5302,1083,-728,-5320,14112,1699,-863,2371,5136
12782,-4059,-379,-478,9066,1413,1340,1513,5176
12782,-4059,-379,-478,9066,1413,1340,1513,5176
5603,-1351,-600,-2872,11180,2132,600,453,5821
5302,1083,-728,-5320,14112,1699,-863,2371,5136
12782,-4059,-379,-478,9066,1413,1340,1513,5176
9900,-2771,-1324,-7072,14229,3140,-2790,3344,8861
6211,-1358,-896,-8557,15766,3012,-3001,3507,8567
6250,-711,-808,-5153,12794,2636,-1249,2198,5610
6446,-366,-864,-4436,12204,2513,-952,2496,6348
6722,-635,-963,-4287,12460,2028,-908,2162,5668
4716,603,-830,-7798,15474,2480,-1496,1937,6651
6347,-479,-972,-8297,15954,2480,-1968,2131,7649
6875,-970,-932,-4691,12459,2501,-874,1953,5809
7034,-804,-1014,-4420,12564,2058,-851,1994,5758
7377,-742,-998,-4235,11981,2549,-673,1918,5538
7268,-1082,-969,-4186,11839,2663,-825,2029,5839
6844,-996,-856,-3876,11761,2396,-593,1772,6198
9079,-1923,-1236,-4677,12454,2492,-922,2319,5565
6970,-512,-968,-4425,12161,2553,-739,1982,5601
7457,-671,-937,-4849,12495,2643,-1213,2354,5492
8250,-2044,-1127,-8092,15606,2664,-2893,3453,8348
9079,-1923,-1236,-4677,12454,2492,-922,2319,5565
7377,-742,-998,-4235,11981,2549,-673,1918,5538
14155,-5065,-1382,-6550,14633,2039,-1623,1824,6561
6599,-537,-891,-8071,15783,2424,-1983,2234,7462
6257,-303,-1000,-7880,15621,2396,-1714,1904,7046
6071,-747,-856,-7653,15365,2441,-2025,2553,7315
4920,616,-593,-6493,13964,2784,-1774,3178,7005
17492,-7240,-2023,-1791,10323,1701,-186,1329,5406
6719,-994,-925,-4408,12426,2211,-887,2129,6051
7034,-804,-1014,-4420,12564,2058,-851,1994,5758
6602,-841,-939,-4472,12458,2247,-975,2039,6148
8250,-2044,-1127,-8092,15606,2664,-2893,3453,8348
6018,-617,-965,-8645,15881,2975,-1530,1719,7642
6939,-1016,-866,-4428,12473,2177,-1175,2178,6162
7054,-1501,-990,-8156,15544,2812,-1278,1414,7796
5784,-262,-821,-7539,15064,2672,-1982,2681,7427
4763,712,-646,-6821,14399,2640,-1921,3276,6561
6941,-1164,-857,-3825,11597,2534,-416,1540,6039
6461,-907,-882,-4300,12184,2378,-819,1944,5931
6602,-841,-939,-4472,12458,2247,-975,2039,6148
6362,-823,-847,-4426,12109,2616,-743,1857,5635
6362,-823,-847,-4426,12109,2616,-743,1857,5635
6602,-841,-939,-4472,12458,2247,-975,2039,6148
11498,-3759,-1516,-5073,12954,2349,-892,1867,6118
6771,-1139,-977,-7818,15123,2928,-1244,1437,7533
6444,-904,-893,-4563,12308,2535,-903,2016,6728
6461,-907,-882,-4300,12184,2378,-819,1944,5931
6939,-1016,-866,-4428,12473,2177,-1175,2178,6162
8300,-2110,-1120,-4917,12694,2482,-938,2141,5666
8608,-2097,-1178,-5425,13265,2383,-1149,2238,5680
9423,-2839,-1195,-4532,12377,2415,-483,1374,5276
9766,-2953,-1254,-4276,12116,2433,-437,1336,5131
8293,-1611,-1132,-4759,12711,2275,-1013,2415,5509
10424,-3138,-1300,-4221,11938,2584,-547,1658,6183
9269,-2012,-1107,-3990,11762,2527,-569,2093,4913
8293,-1789,-1094,-5025,12925,2327,-1199,2769,6108
11498,-3759,-1516,-5073,12954,2349,-892,1867,6118
8532,-701,-1167,-4095,11879,2508,-797,2424,7010
10463,-2173,-1437,-4856,12635,2482,-1216,2915,7237
8532,-701,-1167,-4095,11879,2508,-797,2424,7010
8532,-701,-1167,-4095,11879,2508,-797,2424,7010
6362,-823,-847,-4426,12109,2616,-743,1857,5635
10463,-2173,-1437,-4856,12635,2482,-1216,2915,7237
6400,-480,-888,-5294,13416,2047,-1296,2203,6137
8532,-701,-1167,-4095,11879,2508,-797,2424,7010
6400,-480,-888,-5294,13416,2047,-1296,2203,6137
6602,-841,-939,-4472,12458,2247,-975,2039,6148
5859,-211,-930,-8255,16017,2353,-1732,1887,7448
6517,-602,-867,-8180,15926,2378,-1618,1771,7633
6014,-220,-795,-4109,12014,2361,-561,1824,5787
6291,-540,-976,-8350,16145,2311,-1714,1858,7326
6240,-466,-822,-8180,15825,2500,-1801,1938,8042
6264,-582,-724,-8312,15948,2504,-1744,1919,8664
3925,4060,-1739,-8973,16552,2545,-3287,3945,8243
6847,-614,-1014,-4669,12737,2139,-1197,2488,6846
8971,-2022,-1242,-5405,13249,2380,-1280,2483,6072
7596,-978,-967,-4808,12571,2503,-1398,2567,5752
6847,-614,-1014,-4669,12737,2139,-1197,2488,6846
6806,-179,-1020,-8097,16415,1687,-3267,4236,7690
17851,-10604,922,-7425,16662,763,-3660,3636,22278
11657,-3781,-1136,-3544,11262,2283,-160,1219,4700
10826,-3654,-1023,-3215,11310,1906,0,999,4960
6493,-2338,-885,-1589,5934,697,-445,1368,2543
12513,-4407,-1242,-2680,10276,2405,-878,2215,4734
7252,-2405,-1223,-2102,6560,523,-112,704,3007
15591,-6402,-1592,-5365,13198,2168,-1300,1824,5075
15265,-6193,-1558,-4125,12116,2010,-888,1639,5220
14201,-5308,-1757,-6087,14472,1617,-2191,3105,5348
13124,-5329,-1390,-3602,11658,1944,-1612,2863,4885
9427,-3036,-959,-2581,10671,1911,-1039,1982,4430
14573,-5482,-1546,-1266,9799,1468,-1040,1912,3810
14052,-5229,-1156,-1325,9420,2252,-498,1957,4116
11093,-3906,-1028,-5047,12492,2879,-1003,1750,5561
12177,-4817,-1069,-1612,9864,2049,-98,850,4471
13244,-5501,-1248,-1508,9858,1935,-270,1083,4366
7474,-2301,-567,-4056,11456,2975,-222,716,4181
8020,-2687,-682,-3704,11879,2052,-965,1921,5556
8532,-701,-1167,-4095,11879,2508,-797,2424,7010
7378,-1255,-1043,-4088,12251,2048,-876,1946,5805
7378,-1255,-1043,-4088,12251,2048,-876,1946,5805
9194,-2787,-1059,-8098,15657,2608,-2610,3064,7867
9701,-3857,-921,-3149,11537,1817,-786,1817,5147
9326,-2882,-1084,-7940,15447,2677,-2620,3090,7740
11629,-5713,-914,-2706,11090,1842,-206,1225,5515
9602,-3823,-937,-2984,11495,1675,-407,1415,5049
9869,-2972,-942,-7314,15098,2369,-1898,2536,7282
9876,-3774,-871,-7613,14807,3071,-1448,1305,7485
11629,-5713,-914,-2706,11090,1842,-206,1225,5515
9602,-3823,-937,-2984,11495,1675,-407,1415,5049
9602,-3823,-937,-2984,11495,1675,-407,1415,5049
10056,-4131,-944,-2576,11143,1625,-238,1294,5179
9602,-3823,-937,-2984,11495,1675,-407,1415,5049
